EMG,Classification
447.0,0.0
474.0,0.0
506.0,0.0
511.0,0.0
514.0,0.0
494.0,0.0
510.0,0.0
544.0,0.0
570.0,0.0
526.0,0.0
489.0,0.0
442.0,0.0
496.0,0.0
539.0,0.0
557.0,0.0
516.0,0.0
486.0,0.0
508.0,0.0
478.0,0.0
480.0,0.0
510.0,0.0
519.0,0.0
505.0,0.0
492.0,0.0
519.0,0.0
547.0,0.0
497.0,0.0
472.0,0.0
473.0,0.0
484.0,0.0
472.0,0.0
517.0,0.0
538.0,0.0
519.0,0.0
524.0,0.0
558.0,0.0
544.0,0.0
511.0,0.0
492.0,0.0
481.0,0.0
512.0,0.0
536.0,0.0
536.0,0.0
497.0,0.0
447.0,0.0
467.0,0.0
511.0,0.0
506.0,0.0
506.0,0.0
487.0,0.0
511.0,0.0
526.0,0.0
504.0,0.0
515.0,0.0
504.0,0.0
494.0,0.0
485.0,0.0
524.0,0.0
529.0,0.0
503.0,0.0
510.0,0.0
518.0,0.0
512.0,0.0
463.0,0.0
471.0,0.0
511.0,0.0
512.0,0.0
574.0,0.0
556.0,0.0
504.0,0.0
487.0,0.0
473.0,0.0
493.0,0.0
487.0,0.0
511.0,0.0
509.0,0.0
513.0,0.0
514.0,0.0
539.0,0.0
558.0,0.0
534.0,0.0
513.0,0.0
494.0,0.0
467.0,0.0
440.0,0.0
492.0,0.0
481.0,0.0
498.0,0.0
504.0,0.0
521.0,0.0
518.0,0.0
536.0,0.0
543.0,0.0
545.0,0.0
511.0,0.0
507.0,0.0
513.0,0.0
508.0,0.0
539.0,0.0
539.0,0.0
526.0,0.0
494.0,0.0
484.0,0.0
472.0,0.0
484.0,0.0
487.0,0.0
495.0,0.0
497.0,0.0
497.0,0.0
512.0,0.0
500.0,0.0
519.0,0.0
511.0,0.0
502.0,0.0
504.0,0.0
515.0,0.0
520.0,0.0
512.0,0.0
476.0,0.0
543.0,0.0
573.0,0.0
554.0,0.0
520.0,0.0
494.0,0.0
487.0,0.0
495.0,0.0
452.0,0.0
423.0,0.0
459.0,0.0
463.0,0.0
448.0,0.0
461.0,0.0
464.0,0.0
441.0,0.0
488.0,0.0
542.0,0.0
546.0,0.0
526.0,0.0
492.0,0.0
472.0,0.0
518.0,0.0
526.0,0.0
490.0,0.0
487.0,0.0
545.0,0.0
545.0,0.0
498.0,0.0
448.0,0.0
519.0,0.0
574.0,0.0
537.0,0.0
504.0,0.0
520.0,0.0
526.0,0.0
531.0,0.0
516.0,0.0
502.0,0.0
453.0,0.0
473.0,0.0
502.0,0.0
560.0,0.0
588.0,0.0
550.0,0.0
507.0,0.0
473.0,0.0
485.0,0.0
492.0,0.0
499.0,0.0
497.0,0.0
508.0,0.0
518.0,0.0
523.0,0.0
516.0,0.0
511.0,0.0
514.0,0.0
519.0,0.0
513.0,0.0
518.0,0.0
521.0,0.0
518.0,0.0
512.0,0.0
514.0,0.0
496.0,0.0
500.0,0.0
508.0,0.0
486.0,0.0
496.0,0.0
510.0,0.0
496.0,0.0
488.0,0.0
493.0,0.0
529.0,0.0
512.0,0.0
503.0,0.0
513.0,0.0
509.0,0.0
513.0,0.0
508.0,0.0
483.0,0.0
501.0,0.0
551.0,0.0
522.0,0.0
508.0,0.0
491.0,0.0
472.0,0.0
477.0,0.0
516.0,0.0
504.0,0.0
504.0,0.0
513.0,0.0
499.0,0.0
540.0,0.0
552.0,0.0
494.0,0.0
455.0,0.0
488.0,0.0
531.0,0.0
558.0,0.0
593.0,0.0
552.0,0.0
507.0,0.0
500.0,0.0
496.0,0.0
476.0,0.0
468.0,0.0
471.0,0.0
494.0,0.0
504.0,0.0
503.0,0.0
495.0,0.0
503.0,0.0
513.0,0.0
508.0,0.0
523.0,0.0
506.0,0.0
499.0,0.0
526.0,0.0
545.0,0.0
508.0,0.0
484.0,0.0
490.0,0.0
489.0,0.0
489.0,0.0
492.0,0.0
513.0,0.0
517.0,0.0
522.0,0.0
519.0,0.0
520.0,0.0
535.0,0.0
531.0,0.0
525.0,0.0
508.0,0.0
511.0,0.0
505.0,0.0
497.0,0.0
500.0,0.0
506.0,0.0
510.0,0.0
507.0,0.0
497.0,0.0
498.0,0.0
497.0,0.0
519.0,0.0
526.0,0.0
487.0,0.0
490.0,0.0
507.0,0.0
500.0,0.0
492.0,0.0
518.0,0.0
518.0,0.0
507.0,0.0
514.0,0.0
505.0,0.0
500.0,0.0
497.0,0.0
492.0,0.0
527.0,0.0
547.0,0.0
524.0,0.0
500.0,0.0
507.0,0.0
484.0,0.0
503.0,0.0
512.0,0.0
509.0,0.0
507.0,0.0
528.0,0.0
504.0,0.0
470.0,0.0
489.0,0.0
492.0,0.0
504.0,0.0
537.0,0.0
550.0,0.0
519.0,0.0
487.0,0.0
500.0,0.0
514.0,0.0
503.0,0.0
489.0,0.0
496.0,0.0
501.0,0.0
507.0,0.0
510.0,0.0
501.0,0.0
498.0,0.0
496.0,0.0
499.0,0.0
511.0,0.0
518.0,0.0
514.0,0.0
507.0,0.0
512.0,0.0
518.0,0.0
500.0,0.0
532.0,0.0
537.0,0.0
528.0,0.0
504.0,0.0
503.0,0.0
495.0,0.0
484.0,0.0
476.0,0.0
495.0,0.0
497.0,0.0
496.0,0.0
507.0,0.0
527.0,0.0
529.0,0.0
514.0,0.0
498.0,0.0
490.0,0.0
504.0,0.0
508.0,0.0
510.0,0.0
511.0,0.0
528.0,0.0
536.0,0.0
520.0,0.0
494.0,0.0
469.0,0.0
495.0,0.0
511.0,0.0
510.0,0.0
504.0,0.0
489.0,0.0
493.0,0.0
484.0,0.0
495.0,0.0
523.0,0.0
541.0,0.0
520.0,0.0
540.0,0.0
528.0,0.0
535.0,0.0
525.0,0.0
492.0,0.0
499.0,0.0
489.0,0.0
487.0,0.0
507.0,0.0
494.0,0.0
487.0,0.0
486.0,0.0
494.0,0.0
525.0,0.0
504.0,0.0
503.0,0.0
482.0,0.0
485.0,0.0
475.0,0.0
532.0,0.0
515.0,0.0
550.0,0.0
549.0,0.0
540.0,0.0
531.0,0.0
509.0,0.0
495.0,0.0
491.0,0.0
485.0,0.0
492.0,0.0
492.0,0.0
497.0,0.0
492.0,0.0
499.0,0.0
513.0,0.0
510.0,0.0
509.0,0.0
511.0,0.0
507.0,0.0
510.0,0.0
513.0,0.0
505.0,0.0
510.0,0.0
517.0,0.0
503.0,0.0
496.0,0.0
504.0,0.0
504.0,0.0
506.0,0.0
509.0,0.0
513.0,0.0
503.0,0.0
506.0,0.0
512.0,0.0
510.0,0.0
502.0,0.0
498.0,0.0
511.0,0.0
513.0,0.0
513.0,0.0
506.0,0.0
520.0,0.0
515.0,0.0
495.0,0.0
514.0,0.0
532.0,0.0
506.0,0.0
478.0,0.0
483.0,0.0
484.0,0.0
494.0,0.0
508.0,0.0
519.0,0.0
525.0,0.0
527.0,0.0
504.0,0.0
493.0,0.0
506.0,0.0
535.0,0.0
519.0,0.0
495.0,0.0
518.0,0.0
529.0,0.0
502.0,0.0
521.0,0.0
531.0,0.0
508.0,0.0
500.0,0.0
495.0,0.0
471.0,0.0
472.0,0.0
495.0,0.0
500.0,0.0
512.0,0.0
499.0,0.0
490.0,0.0
502.0,0.0
503.0,0.0
540.0,0.0
540.0,0.0
535.0,0.0
533.0,0.0
513.0,0.0
504.0,0.0
504.0,0.0
500.0,0.0
504.0,0.0
504.0,0.0
488.0,0.0
499.0,0.0
502.0,0.0
497.0,0.0
496.0,0.0
502.0,0.0
506.0,0.0
504.0,0.0
496.0,0.0
501.0,0.0
511.0,0.0
521.0,0.0
516.0,0.0
525.0,0.0
501.0,0.0
495.0,0.0
507.0,0.0
532.0,0.0
527.0,0.0
521.0,0.0
512.0,0.0
508.0,0.0
490.0,0.0
475.0,0.0
491.0,0.0
498.0,0.0
499.0,0.0
504.0,0.0
512.0,0.0
529.0,0.0
506.0,0.0
498.0,0.0
508.0,0.0
501.0,0.0
515.0,0.0
515.0,0.0
527.0,0.0
513.0,0.0
503.0,0.0
503.0,0.0
494.0,0.0
531.0,0.0
508.0,0.0
490.0,0.0
480.0,0.0
469.0,0.0
480.0,0.0
515.0,0.0
513.0,0.0
503.0,0.0
494.0,0.0
489.0,0.0
486.0,0.0
496.0,0.0
483.0,0.0
485.0,0.0
534.0,0.0
511.0,0.0
510.0,0.0
526.0,0.0
531.0,0.0
504.0,0.0
507.0,0.0
522.0,0.0
512.0,0.0
508.0,0.0
513.0,0.0
492.0,0.0
495.0,0.0
504.0,0.0
491.0,0.0
503.0,0.0
515.0,0.0
527.0,0.0
533.0,0.0
525.0,0.0
510.0,0.0
508.0,0.0
496.0,0.0
491.0,0.0
490.0,0.0
500.0,0.0
499.0,0.0
499.0,0.0
494.0,0.0
502.0,0.0
510.0,0.0
514.0,0.0
512.0,0.0
515.0,0.0
514.0,0.0
513.0,0.0
508.0,0.0
513.0,0.0
511.0,0.0
511.0,0.0
506.0,0.0
514.0,0.0
520.0,0.0
504.0,0.0
501.0,0.0
499.0,0.0
500.0,0.0
493.0,0.0
515.0,0.0
519.0,0.0
515.0,0.0
512.0,0.0
500.0,0.0
493.0,0.0
496.0,0.0
500.0,0.0
531.0,0.0
556.0,0.0
524.0,0.0
500.0,0.0
536.0,0.0
512.0,0.0
494.0,0.0
503.0,0.0
503.0,0.0
486.0,0.0
480.0,0.0
478.0,0.0
507.0,0.0
500.0,0.0
517.0,0.0
526.0,0.0
536.0,0.0
524.0,0.0
508.0,0.0
511.0,0.0
512.0,0.0
506.0,0.0
511.0,0.0
503.0,0.0
497.0,0.0
504.0,0.0
505.0,0.0
495.0,0.0
496.0,0.0
492.0,0.0
496.0,0.0
511.0,0.0
523.0,0.0
504.0,0.0
476.0,0.0
507.0,0.0
517.0,0.0
521.0,0.0
508.0,0.0
518.0,0.0
525.0,0.0
512.0,0.0
516.0,0.0
519.0,0.0
506.0,0.0
500.0,0.0
517.0,0.0
503.0,0.0
507.0,0.0
504.0,0.0
501.0,0.0
506.0,0.0
511.0,0.0
511.0,0.0
508.0,0.0
493.0,0.0
479.0,0.0
479.0,0.0
478.0,0.0
505.0,0.0
523.0,0.0
556.0,0.0
543.0,0.0
535.0,0.0
514.0,0.0
492.0,0.0
502.0,0.0
514.0,0.0
508.0,0.0
495.0,0.0
499.0,0.0
486.0,0.0
483.0,0.0
504.0,0.0
504.0,0.0
514.0,0.0
519.0,0.0
505.0,0.0
517.0,0.0
510.0,0.0
511.0,0.0
508.0,0.0
504.0,0.0
494.0,0.0
504.0,0.0
496.0,0.0
500.0,0.0
494.0,0.0
498.0,0.0
524.0,0.0
510.0,0.0
496.0,0.0
519.0,0.0
526.0,0.0
512.0,0.0
512.0,0.0
492.0,0.0
492.0,0.0
524.0,0.0
520.0,0.0
523.0,0.0
516.0,0.0
495.0,0.0
498.0,0.0
522.0,0.0
505.0,0.0
483.0,0.0
483.0,0.0
500.0,0.0
522.0,0.0
511.0,0.0
509.0,0.0
505.0,0.0
501.0,0.0
493.0,0.0
496.0,0.0
512.0,0.0
507.0,0.0
504.0,0.0
518.0,0.0
518.0,0.0
521.0,0.0
520.0,0.0
513.0,0.0
509.0,0.0
509.0,0.0
508.0,0.0
511.0,0.0
498.0,0.0
489.0,0.0
492.0,0.0
507.0,0.0
503.0,0.0
493.0,0.0
497.0,0.0
513.0,0.0
506.0,0.0
512.0,0.0
530.0,0.0
525.0,0.0
508.0,0.0
505.0,0.0
488.0,0.0
486.0,0.0
520.0,0.0
518.0,0.0
512.0,0.0
499.0,0.0
516.0,0.0
515.0,0.0
488.0,0.0
475.0,0.0
496.0,0.0
513.0,0.0
516.0,0.0
514.0,0.0
525.0,0.0
519.0,0.0
516.0,0.0
521.0,0.0
506.0,0.0
487.0,0.0
485.0,0.0
515.0,0.0
516.0,0.0
507.0,0.0
494.0,0.0
491.0,0.0
483.0,0.0
542.0,0.0
510.0,0.0
492.0,0.0
494.0,0.0
501.0,0.0
490.0,0.0
487.0,0.0
502.0,0.0
524.0,0.0
524.0,0.0
543.0,0.0
546.0,0.0
510.0,0.0
497.0,0.0
487.0,0.0
502.0,0.0
505.0,0.0
513.0,0.0
526.0,0.0
514.0,0.0
498.0,0.0
492.0,0.0
513.0,0.0
500.0,0.0
495.0,0.0
497.0,0.0
491.0,0.0
502.0,0.0
504.0,0.0
516.0,0.0
538.0,0.0
527.0,0.0
503.0,0.0
498.0,0.0
495.0,0.0
509.0,0.0
512.0,0.0
508.0,0.0
509.0,0.0
494.0,0.0
497.0,0.0
510.0,0.0
503.0,0.0
499.0,0.0
496.0,0.0
503.0,0.0
513.0,0.0
511.0,0.0
515.0,0.0
514.0,0.0
512.0,0.0
506.0,0.0
501.0,0.0
504.0,0.0
508.0,0.0
517.0,0.0
529.0,0.0
513.0,0.0
512.0,0.0
502.0,0.0
495.0,0.0
493.0,0.0
490.0,0.0
505.0,0.0
521.0,0.0
507.0,0.0
504.0,0.0
504.0,0.0
507.0,0.0
517.0,0.0
517.0,0.0
504.0,0.0
495.0,0.0
499.0,0.0
517.0,0.0
520.0,0.0
520.0,0.0
520.0,0.0
519.0,0.0
499.0,0.0
501.0,0.0
485.0,0.0
494.0,0.0
501.0,0.0
501.0,0.0
501.0,0.0
510.0,0.0
524.0,0.0
517.0,0.0
518.0,0.0
504.0,0.0
502.0,0.0
514.0,0.0
515.0,0.0
526.0,0.0
503.0,0.0
512.0,0.0
496.0,0.0
473.0,0.0
465.0,0.0
477.0,0.0
502.0,0.0
508.0,0.0
552.0,0.0
509.0,0.0
508.0,0.0
522.0,0.0
551.0,0.0
531.0,0.0
535.0,0.0
523.0,0.0
502.0,0.0
506.0,0.0
508.0,0.0
511.0,0.0
515.0,0.0
496.0,0.0
487.0,0.0
491.0,0.0
479.0,0.0
480.0,0.0
491.0,0.0
503.0,0.0
510.0,0.0
516.0,0.0
517.0,0.0
495.0,0.0
492.0,0.0
521.0,0.0
523.0,0.0
504.0,0.0
500.0,0.0
515.0,0.0
523.0,0.0
522.0,0.0
509.0,0.0
508.0,0.0
504.0,0.0
515.0,0.0
505.0,0.0
495.0,0.0
486.0,0.0
488.0,0.0
500.0,0.0
517.0,0.0
517.0,0.0
512.0,0.0
508.0,0.0
507.0,0.0
512.0,0.0
511.0,0.0
512.0,0.0
510.0,0.0
510.0,0.0
512.0,0.0
510.0,0.0
508.0,0.0
505.0,0.0
499.0,0.0
503.0,0.0
502.0,0.0
497.0,0.0
495.0,0.0
499.0,0.0
504.0,0.0
510.0,0.0
508.0,0.0
510.0,0.0
509.0,0.0
510.0,0.0
513.0,0.0
516.0,0.0
514.0,0.0
513.0,0.0
512.0,0.0
510.0,0.0
508.0,0.0
504.0,0.0
503.0,0.0
499.0,0.0
497.0,0.0
496.0,0.0
497.0,0.0
499.0,0.0
502.0,0.0
508.0,0.0
511.0,0.0
511.0,0.0
513.0,0.0
517.0,0.0
515.0,0.0
513.0,0.0
511.0,0.0
510.0,0.0
509.0,0.0
504.0,0.0
509.0,0.0
504.0,0.0
506.0,0.0
503.0,0.0
496.0,0.0
493.0,0.0
497.0,0.0
508.0,0.0
506.0,0.0
504.0,0.0
507.0,0.0
506.0,0.0
506.0,0.0
517.0,0.0
519.0,0.0
514.0,0.0
509.0,0.0
513.0,0.0
510.0,0.0
508.0,0.0
508.0,0.0
503.0,0.0
499.0,0.0
496.0,0.0
495.0,0.0
494.0,0.0
494.0,0.0
502.0,0.0
510.0,0.0
509.0,0.0
504.0,0.0
503.0,0.0
496.0,0.0
492.0,0.0
481.0,0.0
478.0,0.0
505.0,0.0
550.0,0.0
567.0,0.0
569.0,0.0
553.0,0.0
527.0,0.0
502.0,0.0
487.0,0.0
481.0,0.0
478.0,0.0
484.0,0.0
494.0,0.0
495.0,0.0
490.0,0.0
496.0,0.0
498.0,0.0
511.0,0.0
528.0,0.0
537.0,0.0
531.0,0.0
517.0,0.0
511.0,0.0
509.0,0.0
508.0,0.0
503.0,0.0
500.0,0.0
498.0,0.0
494.0,0.0
497.0,0.0
497.0,0.0
500.0,0.0
499.0,0.0
499.0,0.0
504.0,0.0
505.0,0.0
504.0,0.0
508.0,0.0
507.0,0.0
513.0,0.0
518.0,0.0
517.0,0.0
519.0,0.0
515.0,0.0
517.0,0.0
515.0,0.0
504.0,0.0
500.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
503.0,0.0
508.0,0.0
518.0,0.0
521.0,0.0
517.0,0.0
507.0,0.0
513.0,0.0
510.0,0.0
504.0,0.0
486.0,0.0
461.0,0.0
436.0,0.0
450.0,0.0
519.0,0.0
578.0,0.0
621.0,0.0
602.0,0.0
556.0,0.0
513.0,0.0
491.0,0.0
479.0,0.0
487.0,0.0
495.0,0.0
493.0,0.0
501.0,0.0
504.0,0.0
499.0,0.0
500.0,0.0
509.0,0.0
518.0,0.0
515.0,0.0
508.0,0.0
504.0,0.0
506.0,0.0
484.0,0.0
487.0,0.0
485.0,0.0
500.0,0.0
499.0,0.0
473.0,0.0
480.0,0.0
502.0,0.0
513.0,0.0
513.0,0.0
489.0,0.0
488.0,0.0
510.0,0.0
534.0,0.0
617.0,0.0
623.0,0.0
563.0,0.0
531.0,0.0
531.0,0.0
517.0,0.0
492.0,0.0
479.0,0.0
479.0,0.0
483.0,0.0
485.0,0.0
482.0,0.0
484.0,0.0
487.0,0.0
496.0,0.0
499.0,0.0
501.0,0.0
502.0,0.0
508.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
512.0,0.0
514.0,0.0
512.0,0.0
512.0,0.0
508.0,0.0
503.0,0.0
497.0,0.0
492.0,0.0
490.0,0.0
489.0,0.0
489.0,0.0
492.0,0.0
496.0,0.0
500.0,0.0
502.0,0.0
508.0,0.0
516.0,0.0
526.0,0.0
534.0,0.0
526.0,0.0
518.0,0.0
518.0,0.0
522.0,0.0
530.0,0.0
511.0,0.0
486.0,0.0
490.0,0.0
491.0,0.0
493.0,0.0
492.0,0.0
496.0,0.0
501.0,0.0
506.0,0.0
512.0,0.0
514.0,0.0
516.0,0.0
519.0,0.0
522.0,0.0
520.0,0.0
517.0,0.0
517.0,0.0
514.0,0.0
511.0,0.0
508.0,0.0
513.0,0.0
504.0,0.0
497.0,0.0
500.0,0.0
490.0,0.0
498.0,0.0
492.0,0.0
473.0,0.0
470.0,0.0
455.0,0.0
515.0,0.0
527.0,0.0
534.0,0.0
541.0,0.0
563.0,0.0
569.0,0.0
563.0,0.0
536.0,0.0
524.0,0.0
509.0,0.0
500.0,0.0
494.0,0.0
489.0,0.0
481.0,0.0
482.0,0.0
489.0,0.0
493.0,0.0
504.0,0.0
524.0,0.0
534.0,0.0
534.0,0.0
535.0,0.0
542.0,0.0
533.0,0.0
448.0,0.0
371.0,0.0
351.0,0.0
369.0,0.0
395.0,0.0
427.0,0.0
451.0,0.0
479.0,0.0
496.0,0.0
499.0,0.0
492.0,0.0
500.0,0.0
509.0,0.0
509.0,0.0
505.0,0.0
550.0,0.0
559.0,0.0
539.0,0.0
531.0,0.0
534.0,0.0
534.0,0.0
531.0,0.0
529.0,0.0
527.0,0.0
524.0,0.0
521.0,0.0
513.0,0.0
510.0,0.0
500.0,0.0
508.0,0.0
521.0,0.0
518.0,0.0
511.0,0.0
519.0,0.0
532.0,0.0
542.0,0.0
551.0,0.0
552.0,0.0
550.0,0.0
542.0,0.0
537.0,0.0
533.0,0.0
529.0,0.0
524.0,0.0
513.0,0.0
499.0,0.0
491.0,0.0
477.0,0.0
468.0,0.0
470.0,0.0
470.0,0.0
473.0,0.0
477.0,0.0
484.0,0.0
490.0,0.0
502.0,0.0
513.0,0.0
521.0,0.0
531.0,0.0
540.0,0.0
544.0,0.0
548.0,0.0
548.0,0.0
549.0,0.0
545.0,0.0
540.0,0.0
536.0,0.0
527.0,0.0
519.0,0.0
516.0,0.0
507.0,0.0
497.0,0.0
492.0,0.0
475.0,0.0
455.0,0.0
433.0,0.0
435.0,0.0
460.0,0.0
480.0,0.0
539.0,0.0
548.0,0.0
519.0,0.0
498.0,0.0
502.0,0.0
501.0,0.0
496.0,0.0
490.0,0.0
487.0,0.0
492.0,0.0
490.0,0.0
516.0,0.0
545.0,0.0
527.0,0.0
520.0,0.0
521.0,0.0
513.0,0.0
504.0,0.0
504.0,0.0
499.0,0.0
498.0,0.0
498.0,0.0
499.0,0.0
498.0,0.0
497.0,0.0
512.0,0.0
520.0,0.0
494.0,0.0
482.0,0.0
476.0,0.0
481.0,0.0
498.0,0.0
505.0,0.0
506.0,0.0
505.0,0.0
504.0,0.0
504.0,0.0
504.0,0.0
507.0,0.0
512.0,0.0
515.0,0.0
518.0,0.0
519.0,0.0
518.0,0.0
518.0,0.0
519.0,0.0
519.0,0.0
514.0,0.0
509.0,0.0
505.0,0.0
506.0,0.0
505.0,0.0
505.0,0.0
506.0,0.0
509.0,0.0
512.0,0.0
509.0,0.0
508.0,0.0
512.0,0.0
518.0,0.0
519.0,0.0
518.0,0.0
517.0,0.0
515.0,0.0
515.0,0.0
517.0,0.0
511.0,0.0
508.0,0.0
514.0,0.0
506.0,0.0
501.0,0.0
503.0,0.0
493.0,0.0
496.0,0.0
497.0,0.0
502.0,0.0
505.0,0.0
510.0,0.0
509.0,0.0
509.0,0.0
509.0,0.0
511.0,0.0
509.0,0.0
510.0,0.0
509.0,0.0
509.0,0.0
509.0,0.0
507.0,0.0
499.0,0.0
499.0,0.0
496.0,0.0
499.0,0.0
493.0,0.0
489.0,0.0
485.0,0.0
489.0,0.0
507.0,0.0
521.0,0.0
515.0,0.0
519.0,0.0
516.0,0.0
515.0,0.0
507.0,0.0
511.0,0.0
504.0,0.0
514.0,0.0
528.0,0.0
510.0,0.0
502.0,0.0
499.0,0.0
509.0,0.0
497.0,0.0
494.0,0.0
497.0,0.0
497.0,0.0
505.0,0.0
504.0,0.0
506.0,0.0
508.0,0.0
511.0,0.0
515.0,0.0
517.0,0.0
519.0,0.0
519.0,0.0
518.0,0.0
513.0,0.0
512.0,0.0
513.0,0.0
515.0,0.0
504.0,0.0
497.0,0.0
495.0,0.0
478.0,0.0
483.0,0.0
494.0,0.0
502.0,0.0
507.0,0.0
505.0,0.0
505.0,0.0
513.0,0.0
524.0,0.0
523.0,0.0
518.0,0.0
513.0,0.0
511.0,0.0
512.0,0.0
506.0,0.0
506.0,0.0
503.0,0.0
500.0,0.0
496.0,0.0
496.0,0.0
495.0,0.0
499.0,0.0
500.0,0.0
505.0,0.0
507.0,0.0
511.0,0.0
513.0,0.0
518.0,0.0
520.0,0.0
519.0,0.0
517.0,0.0
517.0,0.0
518.0,0.0
514.0,0.0
511.0,0.0
503.0,0.0
500.0,0.0
497.0,0.0
495.0,0.0
500.0,0.0
499.0,0.0
498.0,0.0
500.0,0.0
509.0,0.0
513.0,0.0
512.0,0.0
510.0,0.0
511.0,0.0
514.0,0.0
514.0,0.0
515.0,0.0
511.0,0.0
511.0,0.0
507.0,0.0
518.0,0.0
521.0,0.0
505.0,0.0
501.0,0.0
500.0,0.0
503.0,0.0
495.0,0.0
496.0,0.0
494.0,0.0
496.0,0.0
501.0,0.0
530.0,0.0
521.0,0.0
510.0,0.0
510.0,0.0
515.0,0.0
513.0,0.0
512.0,0.0
514.0,0.0
509.0,0.0
507.0,0.0
502.0,0.0
496.0,0.0
492.0,0.0
490.0,0.0
494.0,0.0
501.0,0.0
491.0,0.0
496.0,0.0
500.0,0.0
512.0,0.0
513.0,0.0
515.0,0.0
516.0,0.0
513.0,0.0
506.0,0.0
504.0,0.0
505.0,0.0
515.0,0.0
511.0,0.0
511.0,0.0
516.0,0.0
509.0,0.0
495.0,0.0
504.0,0.0
505.0,0.0
496.0,0.0
494.0,0.0
496.0,0.0
504.0,0.0
512.0,0.0
513.0,0.0
511.0,0.0
512.0,0.0
519.0,0.0
522.0,0.0
518.0,0.0
514.0,0.0
510.0,0.0
516.0,0.0
519.0,0.0
513.0,0.0
501.0,0.0
495.0,0.0
493.0,0.0
491.0,0.0
491.0,0.0
492.0,0.0
498.0,0.0
506.0,0.0
508.0,0.0
514.0,0.0
520.0,0.0
522.0,0.0
521.0,0.0
521.0,0.0
514.0,0.0
513.0,0.0
513.0,0.0
510.0,0.0
510.0,0.0
505.0,0.0
505.0,0.0
500.0,0.0
492.0,0.0
489.0,0.0
491.0,0.0
496.0,0.0
503.0,0.0
515.0,0.0
518.0,0.0
513.0,0.0
509.0,0.0
514.0,0.0
514.0,0.0
518.0,0.0
515.0,0.0
510.0,0.0
504.0,0.0
502.0,0.0
502.0,0.0
512.0,0.0
507.0,0.0
498.0,0.0
499.0,0.0
488.0,0.0
487.0,0.0
487.0,0.0
499.0,0.0
507.0,0.0
511.0,0.0
515.0,0.0
515.0,0.0
522.0,0.0
516.0,0.0
513.0,0.0
508.0,0.0
509.0,0.0
511.0,0.0
510.0,0.0
507.0,0.0
508.0,0.0
506.0,0.0
506.0,0.0
507.0,0.0
504.0,0.0
492.0,0.0
493.0,0.0
496.0,0.0
500.0,0.0
505.0,0.0
505.0,0.0
508.0,0.0
513.0,0.0
520.0,0.0
523.0,0.0
513.0,0.0
510.0,0.0
515.0,0.0
517.0,0.0
519.0,0.0
509.0,0.0
503.0,0.0
498.0,0.0
495.0,0.0
494.0,0.0
497.0,0.0
496.0,0.0
497.0,0.0
505.0,0.0
501.0,0.0
496.0,0.0
505.0,0.0
521.0,0.0
547.0,0.0
527.0,0.0
507.0,0.0
507.0,0.0
508.0,0.0
510.0,0.0
511.0,0.0
507.0,0.0
501.0,0.0
499.0,0.0
496.0,0.0
491.0,0.0
494.0,0.0
495.0,0.0
501.0,0.0
505.0,0.0
512.0,0.0
510.0,0.0
511.0,0.0
519.0,0.0
527.0,0.0
527.0,0.0
511.0,0.0
498.0,0.0
500.0,0.0
501.0,0.0
494.0,0.0
535.0,0.0
528.0,0.0
499.0,0.0
495.0,0.0
495.0,0.0
488.0,0.0
483.0,0.0
487.0,0.0
521.0,0.0
531.0,0.0
519.0,0.0
515.0,0.0
513.0,0.0
513.0,0.0
511.0,0.0
512.0,0.0
509.0,0.0
512.0,0.0
510.0,0.0
507.0,0.0
502.0,0.0
501.0,0.0
498.0,0.0
502.0,0.0
496.0,0.0
491.0,0.0
483.0,0.0
505.0,0.0
513.0,0.0
501.0,0.0
505.0,0.0
512.0,0.0
514.0,0.0
507.0,0.0
512.0,0.0
510.0,0.0
530.0,0.0
514.0,0.0
512.0,0.0
519.0,0.0
511.0,0.0
502.0,0.0
496.0,0.0
494.0,0.0
503.0,0.0
500.0,0.0
497.0,0.0
499.0,0.0
497.0,0.0
501.0,0.0
510.0,0.0
511.0,0.0
513.0,0.0
518.0,0.0
515.0,0.0
516.0,0.0
515.0,0.0
515.0,0.0
514.0,0.0
511.0,0.0
509.0,0.0
502.0,0.0
504.0,0.0
497.0,0.0
494.0,0.0
492.0,0.0
490.0,0.0
496.0,0.0
506.0,0.0
515.0,0.0
509.0,0.0
515.0,0.0
518.0,0.0
513.0,0.0
511.0,0.0
509.0,0.0
517.0,0.0
519.0,0.0
516.0,0.0
511.0,0.0
505.0,0.0
497.0,0.0
496.0,0.0
493.0,0.0
493.0,0.0
497.0,0.0
496.0,0.0
497.0,0.0
504.0,0.0
508.0,0.0
510.0,0.0
511.0,0.0
513.0,0.0
513.0,0.0
516.0,0.0
516.0,0.0
513.0,0.0
513.0,0.0
511.0,0.0
510.0,0.0
507.0,0.0
503.0,0.0
499.0,0.0
497.0,0.0
496.0,0.0
497.0,0.0
499.0,0.0
502.0,0.0
505.0,0.0
508.0,0.0
509.0,0.0
514.0,0.0
515.0,0.0
515.0,0.0
520.0,0.0
518.0,0.0
511.0,0.0
508.0,0.0
511.0,0.0
510.0,0.0
509.0,0.0
504.0,0.0
499.0,0.0
495.0,0.0
494.0,0.0
496.0,0.0
497.0,0.0
505.0,0.0
508.0,0.0
505.0,0.0
